Название;Цена
"Внутренний HDD 3.5"" 1TB Seagate BarraCuda SaTA-III [ST1000DM014]";29 200 ₸
Оперативная память DDR4 DIMM 16GB(8GB*2)/3200MHz Kingston FURY Beast RGB (KF432C16BB2AK2/16);28 290 ₸
"Внутренний SSD 2.5"" 7мм 240GB Hiksemi WAVE SATA-III 3D QLC [HS-SSD-WAVE(S) 240G]";7 690 ₸
"Внутренний SSD 2.5"" 7мм 1TB Hiksemi WAVE SATA-III 3D TLC [HS-SSD-WAVE(S) 1024G]";28 590 ₸
Оперативная память DDR5 SODIMM 16GB/5200MHz Kingston (KVR52S42BS8-16);29 990 ₸
Блок питания 750W FSP Hydro G PRO ATX 80+ Gold [HG2-750];64 990 ₸
Блок питания 400W ZALMAN ZM400-XEII ATX 20+4pin, 4+4pin (ZM400-XEII);15 450 ₸
ПК корпус 2E FANTOM GK701W MiniTower, window, White mATX (GK701W);53 990 ₸
"Внутренний SSD 2.5"" 7мм 256GB Patriot P220 SATA-III 3D TLC [P220S256G25]";8 990 ₸
Система жидкостного охлаждения для CPU Deepcool LT240 ARGB Black [R-LT240-BKAMNC-G-1];59 990 ₸
Кулер для CPU Deepcool AK400 WH(R-AK400-WHNNMN-G-1)(220W) White;14 990 ₸
Оперативная память DDR5 DIMM 16GB(8GBx2)/5600Mhz PC5-44800 Kingston FURY Beast EXPO RGB;40 990 ₸
Внутренний SSD M.2 2280 512GB Hikvision E100N SATA-III 3D TLC [HS-SSD-E100N/512G];18 990 ₸
"Внутренний SSD 2.5"" 7мм 240GB Patriot BURST ELITE SATA-III 3D QLC (PBE240GS25SSDR)";8 690 ₸
Блок питания 600W ZALMAN ZM600-XEII ATX 20+4pin, 4+4pin (ZM600-XEII);19 990 ₸
ПК корпус FSP CMT380B ARGB MidTower, window, Black ATX [CMT380B (ARGB)];35 590 ₸
Кулер для кейса Formula V FLOE PLUS 12BK ARPW ARGB Black [FLOE PLUS 12BK ARPW];10 000 ₸
Внутренний SSD M.2 2280 512GB Hiksemi FUTURE Eco PCIe 4.0 x4 NVMe 3D TLC [HS-SSD-FUTURE Eco 512G];20 590 ₸
ПК корпус 2Е Gaming VERTEX MidTower, window, Black EATX (2E-GI01B);38 590 ₸
Помпа Bykski CP-PMD3COV-X (600л/ч, макс. 6 метров, Black);38 090 ₸
Фитинг угловой Bykski B-RD90-X White (90гр. Папа-мама);2 590 ₸
Блок питания 500W Zalman ZM500-LXII ATX [ZM500-LXII];18 590 ₸
"Внутренний SSD 2.5"" 7мм 256GB Patriot SATA-III 3D TLC (P210S256G25)";8 890 ₸
Кулер для кейса Formula V AIR BRIDGE BK 3in1 ARGB Black [AIR BRIDGE BK];25 900 ₸
Блок питания 600W FSP Hydro PRO HP2-600 ATX 80+ Bronze 20+4pin, 2x6+2pin, 4+4pin (HP2-600);29 990 ₸
Блок питания 650W FSP HV PRO FSP650-51AAC ATX 80+ Standart (FSP650-51AAC);29 990 ₸
Внутренний SSD M.2 2280 512GB Hikvision G4000E PCIe 4.0 x4 NVMe 3D NAND TLC [HS-SSD-G4000E/512G];22 590 ₸
ПК корпус FSP CMT195A ARGB MidTower, window, Black ATX [CMT195A];18 990 ₸
Кулер для CPU Jonsbo CR-1000 EVO(ARGB) White;8 990 ₸
Комплект цветных кабелей Cooler Master Black-White (CMA-NEST16RDBK1-GL);23 890 ₸
Кулер для кейса Arctic P14 PWM PST Black (ACFAN00125A);5 480 ₸
Блок питания 500W Formula V FX-500 ATX [ZH1140BN91R0-01];13 980 ₸
Кулер для CPU Thermaltake Contac Silent 12 (CL-P039-AL12BL-A);9 430 ₸
Жидкость для водянного охлаждения Bykski B-NS-ZROE (500ML Transparent);5 190 ₸
"Внутренний SSD 2.5"" 7мм 128GB Patriot P210 SATA-III 3D TLC [P210S128G25]";6 590 ₸
Видеокарта Gainward RTX 4080 SUPER PHOENIX 16GB 256bit/G6X (HDMI+3DP)[NED408S019T2-1032X];722 990 ₸
Материнская плата Gigabyte B760M DS3H LGA1700 4DDR5 PCI-E 1x16 2x1 (HDMI+2DP+VGA) mATX;64 590 ₸
Оперативная память DDR4 SODIMM 16GB/3200MHz Kingston (KVR32S22S8/16);20 990 ₸
Кулер для кейса ARCTIC BioniX F120 Black [ACFAN00093A];6 190 ₸
Видеокарта Gainward RTX 4070 Ti SUPER PYTHON III OC 16GB 256bit/G6X (HDMI+3DP)[NED47TSS19T2-1043T];547 390 ₸
Процессор AMD Ryzen 7 3800X (C8/T16,32M Cache, 3.9 up to 4.5GHz) AM4 BOX;115 990 ₸
Жидкость для водянного охлаждения Bykski CL-ABS-X-V2 (500ML Green);5 190 ₸
Жидкость для водянного охлаждения Bykski B-NS-ZROE (500ML Red);5 190 ₸
ПК корпус Кейс Jonsbo D300 MidTower, window, Black mATX;99 990 ₸
Видеокарта ZOTAC GAMING RTX 3050 LP 6GB 96bit/G6 (HDMI+DP)[ZT-A30510L-10L];111 990 ₸
Внутренний SSD M.2 2280 4096GB Kingston KC3000 PCIe 4.0 x4 (SKC3000D/4096G);177 290 ₸
Процессор AMD Ryzen 5 8600G (C6/T12, (6M L2, 16M L3 Cache) 4.3 up to 5GHz) AM5 OEM;100 990 ₸
Кулер для кейса Formula V FLOE 12WH ARPW ARGB White [FLOE 12WH ARPW];10 000 ₸
Материнская плата ASRock Z790M-ITX WIFI LGA1700 4DDR5 PCI-E 1x16 (HDMI+DP) mini-ITX;115 990 ₸
Блок питания 700W FSP Hydro PRO M HP2-700 ATX 80+ Bronze 20+4pin, 2x6+2pin, 4+4pin (HP2-700M);36 990 ₸
ПК Корпус FSP M580-WA ARGB MidTower, window, White ATX [M580-WA];56 990 ₸
Кулер для кейса Jonsbo ZG-120BR(3in1) Black;11 290 ₸
Материнская плата Gigabyte B760 GAMING X LGA1700 4DDR4 PCI-E 3x16 (HDMI+DP) ATX;82 990 ₸
Видеокарта Gainward RTX 4060 PYTHON II 8GB 128bit/G6 (HDMI+3DP)[NE64060019P1-1070V];194 990 ₸
Процессор AMD Ryzen 5 7500F (C6/T12, (348K L1, 6M L2, 32M L3 Cache) 3.7 up to 5GHz) AM5 OEM;87 990 ₸
ПК корпус FSP CMT192 ARGB MidTower, window, White ATX [CMT192(W)];20 990 ₸
Система жидкостного охлаждения для CPU Jonsbo TW6-240 ARGB Black;23 990 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-40 (40мм, Размер резьбы: G1/4, White);2 090 ₸
Кулер для кейса Formula V AIR BRIDGE WH 3in1 ARGB White [AIR BRIDGE WH];25 900 ₸
ПК корпус Jonsbo D41 STD SCREEN MiniTower, window, Black ATX (D41 STD SC Black);199 990 ₸
Видеокарта Gigabyte RTX 4070 SUPER WINDFORCE 12GB 192bit/G6X (HDMI+3DP)(GV-N407SWF3OC-12GD);398 990 ₸
"Внутренний SSD 2.5"" 7мм 480GB Patriot Burst Elite SATA-III 3D TLC [PBE480GS25SSDR]";15 990 ₸
Кулер для кейса Jonsbo ZS-120BR Black;2 990 ₸
Кейс FSP M580-BA ARGB MidTower, window, Black ATX (M580-BA);55 990 ₸
Адаптер 3-контактный Bykski B-TE3 (G1/4);1 990 ₸
Фитинг 16ММ Bykski B-HTJV2-L16 (для соединения акриловых трубок 16ММ);2 990 ₸
"Внутренний SSD 2.5"" 7мм 1TB Patriot P210 SATA-III 3D V-NAND (P210S1TB25)";31 790 ₸
Оперативная память DDR4 DIMM 8GB/3200MHz ADATA XPG GAMMIX D35 [AX4U32008G16A-SBKD35];10 590 ₸
Внутренний SSD M.2 2280 1TB Hiksemi FUTURE Eco PCIe 4.0 x4 NVMe 3D TLC [HS-SSD-FUTURE Eco 1024G];33 290 ₸
"Внутренний SSD 2.5"" 7мм 480GB Hiksemi WAVE SATA-III 3D QLC [HS-SSD-WAVE(S) 480G]";13 990 ₸
Видеокарта Gigabyte RTX 4070 WINDFORCE 2X OC 12GB 192bit/G6X (HDMI+3DP)[GV-N4070WF2OC-12GD];382 990 ₸
Видеокарта ZOTAC Gaming RTX 4060 Twin Edge OC White Edition 8GB 128bit/G6 (HDMI+3DP)(ZT-D40600Q-10M);206 990 ₸
Корпус Thermaltake Core P5 TG V2 ATX, window, Black MidTower (CA-1E7-00M1WN-05);91 090 ₸
Материнская плата ASRock B760M PG LIGHTNING WIFI LGA1700 4DDR5 PCI-E 2x16 (HDMI+DP) mATX;71 590 ₸
Видеокарта ZOTAC GAMING RTX 4070 TWIN EDGE OC WHITE 12GB 192bit/G6 (HDMI+3DP)[ZT-D40740Q-10M];370 990 ₸
Внутренний SSD M.2 2280 1TB Hikvision E100N SATA-III 3D TLC [HS-SSD-E100N/1024G];29 990 ₸
Видеокарта Asus Dual RX 6600 8GB 128bit/G6 (HDMI+3DP)(DUAL-RX6600-8G);212 990 ₸
ПК корпус 2E Gaming CALLEO MiniTower, window, Black mATX (2E-GB700);26 990 ₸
Видеокарта Gigabyte RTX 5080 GAMING OC 16GB 256bit/G7 (HDMI+3DP)[GV-N5080GAMING OC-16GD];849 990 ₸
ПК корпус Thermaltake Core P6 Tempered Glass MidTower, window, Snow ATX (CA-1V2-00M6WN-00);103 790 ₸
ПК корпус FSP CMT195W MidTower, window, White ATX [CMT195W];18 990 ₸
Система жидкостного охлаждения для CPU 1STPLAYER TS2 360 ARGB White [TS2 360 WHITE];29 590 ₸
Материнская плата MSI PRO B760M-A WIFI 4DDR5 PCI-E 2x16 1x1 (HDMI+DP) mATX;84 990 ₸
"Внутренний SSD 2.5"" 7мм 960GB Hikvision C100 SATA-III 3D TLC (HS-SSD-C100/960G)";27 190 ₸
Система жидкостного охлаждения для CPU Jonsbo HXW-360 ARGB White;43 990 ₸
Фитинг 14ММ Bykski B-HTJV2-L14 (для соединения акриловых трубок 14ММ);2 590 ₸
