Название;Цена
Металлическая трубка Bykski B-PP7TP500X200 (16ММ, Black);9 190 ₸
Водоблок для CPU Bykski CPU-FIRE-ON-I Intel с цифровым дисплеем;41 390 ₸
Кулер для кейса Lian Li UNI FAN AL ARGB 3in1 Black + контроллер (G99.12ALV23B.00);51 270 ₸
Блок питания 800W FSP Hydro PRO M HP2-800 ATX 80+ Bronze 20+4pin, 2x6+2pin, 4+4pin (HP2-800M);44 390 ₸
Панель для кейса + помпа CP-PMD3COV-X Bykski RGV-TT-P8-P (для кейсов Thermaltake P8);86 190 ₸
Блок питания 800W FSP Hydro M PRO HP2-800M GEN5 ATX 80+ Bronze 12VHPWR (HP2-800M GEN5);44 990 ₸
Фитинг угловой Bykski B-RD90-X (90гр. Папа-мама);2 890 ₸
Водоблок для CPU Bykski CPU-XPR-B-I-V2 Intel RGB/RBW Black;17 090 ₸
Водоблок для CPU Bykski CPU-XPR-POM-I-V2;17 890 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-20 (20мм, Размер резьбы: G1/4, White);1 090 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-30 (30мм, Размер резьбы: G1/4, White);1 490 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-35 (35мм, Размер резьбы: G1/4, White);1 790 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-50 (50мм, Размер резьбы: G1/4, White);2 690 ₸
Блок питания 550W Formula V ATX 80+ Standard [AP-550MM];17 590 ₸
Кулер для кейса GELID LYRA ARGB 140mm (FN-LYRA-01);5 590 ₸
Оперативная память DDR4 DIMM 16GB(2x8)/3600Mhz PC4-28800 Corsair Dominator Platinum RGB;42 060 ₸
Фитинг удлинитель поворотный для измнения размера соединения на 9,5ММ Bykski B-DTSO-S White;1 790 ₸
Радиатор системы жидкостного охлаждения Bykski CR-RD240RC-TN-V2-WH-DZ;26 490 ₸
Резервуар Bykski CT-4H60-AL (180ММ, Black);13 890 ₸
Блок питания 1050W Chieftec Chieftronic POWERPLAY ATX 80+ Platinum FM 20+4pin, 2x4+4pin, 8x6+2pin;87 890 ₸
Кулер для кейса GELID SILENT 12 PWM BLACK (FN-PX12-16);3 500 ₸
Кулер для кейса Arctic P14 PWM PST White (ACFAN00197A);6 290 ₸
Блок питания Thermaltake Litepower 650W APFC ATX 20+4 pin, 4+4pin (PS-LTP-0650NPCNEU-2);52 990 ₸
Оперативная память DDR5 DIMM 16GB(8GBx2)/5600Mhz Kingston Fury Beast Black EXPO [KF556C36BBEK2-16];34 990 ₸
Панель для кейса + помпа CP-PMD3COV-X Bykski RGV-JSB-MOD5-P (для кейсов JONSBO MOD5);67 590 ₸
Система жидкостного охлаждения для CPU ID-COOLING PINKFLOW 240 Diamond Purple (LGA1700);41 390 ₸
Блок питания 500W Thermaltake Toughpower GX1 RGB 500W ATX 20+4pin, 4+4pin (PS-TPD-0500NHFAGE-1);42 990 ₸
ПК корпус Jonsbo D300 MidTower, window, White mATX [D300 White];99 990 ₸
ПК корпус Thermaltake The Tower 100 MiniTower, window, Turquoise mITX (CA-1R3-00SBWN-00);70 990 ₸
Карта расширения PCI-e ORICO PAS-4U для 4xSATA, 6Gbps;47 990 ₸
ПК корпус Sharkoon NIGHT SHARK RGB MidTower, window, Black, ATX (NIGHT SHARK RGB);62 690 ₸
ПК корпус Thermaltake Core P6 TG MidTower, window, Racing Green ATX (CA-1V2-00MCWN-00);86 990 ₸
ПК корпус FSP CUT593P ARGB MidTower, window, Black E-ATX [CUT593P(B)];65 990 ₸
Панель для кейса + помпа CP-PMD3COV-X Bykski RGV-TT-AHT600-P (для кейсов Thermaltake AH T600);86 190 ₸
ПК корпус Jonsbo UMX6-G MidTower, window, Black ATX (UMX6-G Black);39 990 ₸
Помпа Granzon GFM PWM DDC Style с цифровым дисплеем (700л/ч, макс. 6 метров);65 690 ₸
Кулер для кейса Corsair LL120 RGB PWM FAN (3in1);46 490 ₸
Блок питания 1000W FSP Hydro PTM PRO HPT2-1000M Gen 5 ATX 80+ Platinum 12VHPWR (HPT2-1000M Gen 5);111 990 ₸
Блок питания 500W 1STPLAYER DK PREMIUM ATX 80 PLUS Bronze 2x6+2pin, 4+4pin (PS-500AX PREMIUM);18 990 ₸
Трубка Bykski B-PETGW (16mm, 1m);1 090 ₸
Панель для кейса + помпа CP-PMD3COV-X Bykski RGV-JSB-TR03-P (для кейсов JONSBO TR03);68 890 ₸
ПК корпус Thermaltake The Tower 100 MiniTower, window, White mITX (CA-1R3-00S6WN-00);60 990 ₸
Водоблок для CPU Granzon GAIS с цифровым дисплеем Intel RGB/RBW Black;68 790 ₸
Процессор Intel Core i7-13700F (C16/24T, 30M Cache, 2.1 up to 5.2GHz) LGA1700 OEM;187 990 ₸
ПК корпус Corsair iCUE 4000X RGB MidTower, window, White EATX (CC-9011205-WW);64 970 ₸
Модульный радиатор системы жидкостного охлаждения Granzon GH240N (толщина 30мм);45 090 ₸
Блок питания 1050W Gamemax RGB1050 PRO 5.0 ATX 80+ Gold [RGB1050 PRO 5.0 Gold];48 590 ₸
Резервуар Bykski CT-4H60-AL (240ММ, Black);14 290 ₸
Система жидкостного охлаждения для CPU Jonsbo TW7-360 ARGB White;39 990 ₸
Панель для кейса + помпа CP-PMD3COV-X Bykski RGV-ZG-07-P (для кейсов ZEAGINAL 07);67 890 ₸
Модульный радиатор системы жидкостного охлаждения Granzon GH360N (толщина 30мм);51 390 ₸
ПК корпус Jonsbo MOD-3 Mini MiniTower, window, White mATX (MOD-3 Mini White);129 990 ₸
Фитинг многонаправленный поворотный Granzon GD-X (G1/4, Black);5 690 ₸
Система жидкостного охлаждения для CPU ARCTIC Liquid Freezer II-280 A-RGB;59 990 ₸
Панель для кейса Bykski RGV-NZXT-H700I-P (для кейсов NZXT H700i);82 290 ₸
Система жидкостного охлаждения для CPU ARCTIC Liquid Freezer III - 280 ARGB White [ACFRE00151A];68 990 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-7.5 (7,5мм, Размер резьбы: G1/4, Black);690 ₸
Водоблок для CPU Bykski FR-CU-RA-V2 (RGB c температурным дисплеем);36 690 ₸
Кулер для кейса Deepcool MF 120S - 3 в 1 (DPGS-FMF120S-M-3P);44 190 ₸
Водоблок для CPU Bykski CPU-XPR-CD Intel RGB/RBW Black;14 090 ₸
Радиатор системы жидкостного охлаждения Bykski B-RD240-TK (толщина 38мм);9 990 ₸
ПК корпус Thermaltake Core P6 Tempered Glass MidTower, window, Black ATX (CA-1V2-00M1WN-00);92 490 ₸
ПК корпус Corsair iCUE 2000D RGB AIRFLOW MiniTower, Black m-ITX (CC-9011246-WW);89 990 ₸
ПК корпус Thermaltake Core P6 TG MidTower, window, Turquoise ATX (CA-1V2-00MBWN-00);86 990 ₸
Блок питания 1200W FSP Hydro G PRO ATX 80+ Gold [HG2-1200];98 990 ₸
Кулер для кейса Lian Li UNI FAN SL-INFINITY ARGB Black [G99.12SLIN1B.00];13 590 ₸
Датчик температуры Bykski B-TFC-CS-X;16 090 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-20 (20мм, Размер резьбы: G1/4, Black);990 ₸
Резервуар Bykski CT-4H60-AL (130ММ, Black);12 690 ₸
Контроллер RBW 8+4 Bykski FR-B-RBW-C8-V4;4 090 ₸
Оперативная память DDR4 DIMM 16GB(2x8)/3600Mhz PC4-28800 Corsair Dominator Platinum RGB White;47 980 ₸
Кулер для CPU Jonsbo CR-1000 EVO(ARGB) Black;8 990 ₸
Кулер для кейса ARCTIC BioniX F120 White [ACFAN00164A];6 690 ₸
Кулер для кейса Lian Li BR Digital-3R B RGB 3x120mm, G99.12Q18P.R30B;20 990 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-10 (10мм, Размер резьбы: G1/4, Black);790 ₸
Кулер для кейса ID-COOLING ZF-12025 Mint Green, 120mm (ZF-12025-Green);3 580 ₸
ПК корпус FSP CUT593P ARGB MidTower, window, White E-ATX [CUT593P(W)];61 990 ₸
Система жидкостного охлаждения для CPU ARCTIC Liquid Freezer III - 280 ARGB Black [ACFRE00143A];67 990 ₸
Система жидкостного охлаждения для CPU Deepcool LT520 White [R-LT520-WHAMNF-G-1];56 990 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-15 (15мм, Размер резьбы: G1/4, Black);990 ₸
Радиатор системы жидкостного охлаждения Bykski B-RD360-TK (толщина 38мм);37 990 ₸
Водоблок для CPU Bykski CPU-XPR-A-MG Intel RGB Black;26 890 ₸
Радиатор системы жидкостного охлаждения Bykski CR-RD360RC-TK-V2 (толщина 40мм);44 390 ₸
ПК корпус Jonsbo D41 MESH SCREEN MiniTower, window, Black ATX (D41 MESH SC Black);204 990 ₸
ПК корпус Jonsplus U6 MidTower, window, Silver EATX (i400-G Silver);99 990 ₸
Система жидкостного охлаждения для CPU Corsair iCUE H115i 240 ELITE CAPELLIX XT WH (LGA1700/AM5);89 990 ₸
Оперативная память DDR4 DIMM 16GB(2x8)/3200Mhz PC4-25600 Corsair Dominator Platinum RGB;40 740 ₸
ПК корпус Thermaltake The Tower 300 MiniTower, window, Racing Green mATX (CA-1Y4-00SCWN-00);76 990 ₸
Кулер для кейса Formula V AIR BRIDGE PLUS WH 3in1 ARGB White [AIR BRIDGE PLUS WH];18 990 ₸
Блок питания 500W Chieftec SMART ATX 20+4pin, 4+4pin (GPS-500A8);18 990 ₸
Блок питания 550W Thermaltake Smart BX1 RGB 550W ATX 20+4pin, 4+4pin (PS-SPR-0550NHSABE-1);35 590 ₸
Панель для кейса + помпа CP-PMD3COV-X Bykski RGV-ZG-01-P (для кейсов ZEAGINAL ZG-01);66 290 ₸
Кулер для кейса ID-COOLING ZF-12025 Lemon Yellow, 120mm (ZF-12025-Yellow);3 790 ₸
Кулер для кейса Lian Li BR Digital-3R G RGB 3x120mm, G99.12Q18P.R30G;20 990 ₸
Фитинг удлинитель поворотный для измнения размера соединения на 9,5ММ Bykski B-DTSO-S Black;1 490 ₸
Оперативная память DDR5 DIMM 8GB/5600Mhz PC5-44800 Team Group T-Force Delta RGB OEM;17 990 ₸
Кронштейн для крепления резервуара Bykski B-PMFS;7 490 ₸
Фитинг 12ММ Bykski B-HTJ-L12 (для соединения акриловых трубок 12ММ);1 390 ₸
"Внутренний SSD 2.5"" 7мм 2TB Samsung 870 EVO SATA-III 3D NAND TLC (MZ-77E2T0BW)";119 990 ₸
ПК корпус Thermaltake Mini Tower 100, window, Green mITX (CA-1R3-00SCWN-00);52 990 ₸
Панель для кейса + помпа CP-PMD3COV-X Bykski RGV-JSB-MOD3-P-V3 (для кейсов JONSBO MOD3);74 990 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-35 (35мм, Размер резьбы: G1/4, Black);1 690 ₸
Двойная муфта-удлинитель Bykski B-DTJ-MI Black (для адаптации фитинга с внутр резьбой к фитингу с вн;690 ₸
Водоблок для CPU Bykski CPU-XPR-CD Intel RGB/RBW Black;14 890 ₸
Блок питания 1200W FSP Hydro PTM PRO HPT2-1200M ATX 80+ Platinum 20+4pin, 8x6+2pin, 3x4+4pin (HPT2-1200M-GEN5);125 990 ₸
Оперативная память DDR4 DIMM 16GB(2x8)/3200Mhz PC4-25600 Corsair Dominator Platinum RGB White;44 030 ₸
ПК корпус Gamemax Contac COC WP MidTower, window, Pink EATX [12800600002];29 990 ₸
Система жидкостного охлаждения для CPU XPG LEVANTEX 240 White [LEVANTEX240-WHCWW];52 990 ₸
Система жидкостного охлаждения для CPU Deepcool LT240 ARGB White [R-LT240-WHAMNC-G-1];59 990 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-50 (50мм, Размер резьбы: G1/4, Black);2 290 ₸
Кулер для кейса GELID STELLA ARGB [FN-Stella-02];5 990 ₸
Фитинг угловой Bykski B-RD90-EXJ15 (90гр. 15ММ, Папа-мама, Silver);2 490 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-30 (30мм, Размер резьбы: G1/4, Silver);1 290 ₸
Водоблок для CPU Bykski CPU-XPR-B Intel RGB/RBW Black;11 390 ₸
Водоблок для CPU Bykski CPU-XPR-MK-I-V4 Intel RGB/RBW Black;20 390 ₸
Панель для кейса + помпа Bykski RGV-Antec-TE-P (для кейсов Antec Torque);91 190 ₸
Помпа Bykski B-PMS5-NX (1100л/ч, макс 3.8 метров);44 490 ₸
Панель для кейса + помпа Bykski RGV-CG-ZFZ-P (для кейсов Cougar Conquer);95 390 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-25 (25мм, Размер резьбы: G1/4, Black);1 190 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-30 (30мм, Размер резьбы: G1/4, Black);1 290 ₸
Блок питания 1000W FSP Hydro G PRO HG2-1000 GEN5 White ATX 80+ Standart 12VHPWR(HG2-1000 GEN5 White);93 990 ₸
Фитинг угловой Bykski B-RD90-EXJ20 (90гр. 20ММ, Папа-мама, Silver);2 890 ₸
Помпа Bykski B-UL-D5-X-V3;121 390 ₸
Блок питания 1200W FSP Hydro PTM X PRO HPT3-1200M White ATX 80+ PLATINUM [HPT3-1200M White ];137 590 ₸
Райзер-кабель Corsair Premium Extension Cable PCI-E 4.0 x16 300mm;47 990 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-40 (40мм, Размер резьбы: G1/4, Black);1 990 ₸
